stop_id,lat,lon,n_rows,n_trips,name,confidence
8004854,48.1713289999999,11.809438000000009,1588,121,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004156,48.14170600000013,11.422197000000011,1580,117,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8005991,48.06466499999994,11.61235500000002,1548,117,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004733,48.06369500000002,11.677824000000006,1546,113,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004144,48.15691499999982,11.648335,1542,133,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004181,48.139999999999986,11.410112000000021,1540,117,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8001963,48.07971299999991,11.60937800000004,1538,117,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004143,48.149622000000065,11.649330000000008,1534,133,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8006006,48.12886999999992,11.36402300000003,1527,117,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8001229,48.16027700000008,11.224497,1526,116,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004252,48.07591099999991,11.660024999999992,1524,113,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004159,48.09342600000001,11.631207999999987,1522,113,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002210,48.10915700000004,11.324847000000007,1522,116,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002610,48.133502000000014,11.387866999999975,1520,117,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8005986,48.190309999999954,11.646772000000041,1510,133,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002275,48.10567400000013,11.299598000000012,1504,116,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8005831,48.05155200000005,11.609252000000012,1496,117,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004249,48.09896599999981,11.28866599999997,1458,116,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8003879,48.19315699999992,11.861509000000014,1446,121,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8003092,48.22603999999982,11.679406000000007,1440,133,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8006696,48.088685000000005,11.645175000000043,1434,113,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8003824,48.2142370000001,11.257235999999978,1431,122,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8006359,48.07737400000016,11.251768000000027,1425,116,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002435,48.164523000000116,11.782558999999996,1422,121,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002161,48.03552099999987,11.593280999999989,1406,117,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002534,48.30920799999999,11.714338000000025,1382,133,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8005504,48.04137000000002,11.198730000000015,1356,101,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002351,48.13211100000001,11.153276000000004,1342,82,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002894,48.01846499999999,11.71922600000001,1311,113,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8005920,48.10458600000005,11.07645400000001,1308,82,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8005406,48.14736999999995,11.192050999999994,1308,82,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002422,48.071068000000004,11.530944999999978,1242,114,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8000781,48.01874099999992,11.480027000000007,1234,104,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002955,47.99129899999995,11.457512999999988,1228,104,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004161,48.07992099999994,11.526953999999986,1212,114,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004137,48.094503000000046,11.532799000000015,1206,114,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8005699,48.06118400000008,11.206811999999978,1206,101,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8003039,47.953249000000085,11.436646999999995,1190,104,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004154,48.107824000000036,11.536353999999994,1190,114,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8001404,48.01953899999998,11.58359700000002,1177,117,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002348,48.047216999999996,11.962757999999981,1176,80,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004130,48.11774700000002,11.536310999999992,1172,114,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004723,48.21813399999997,11.879384999999974,1166,87,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004899,48.05897999999988,11.521847999999997,1154,114,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8001621,47.97868600000009,11.453607999999997,1146,104,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8005419,48.132960999999945,11.531500000000028,1116,114,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002899,48.04345199999992,11.509751999999992,1114,114,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8001578,47.99395399999989,11.736607000000024,1102,78,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8001922,48.36111799999989,11.445107999999983,1098,82,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004168,48.35372800000003,11.785969999999987,1093,247,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8000653,48.274365000000124,11.894375000000014,1076,87,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8000524,48.293571999999905,11.901744000000006,1066,87,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004900,48.36339000000014,11.707083999999973,1052,84,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8003828,48.21544999999994,11.219063999999976,1042,82,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8005127,48.33331799999997,11.444769999999995,1040,82,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8006189,48.291444999999925,11.455448000000004,1036,82,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004726,47.910958999999934,11.682281999999995,1024,83,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8001231,48.031254999999945,11.497442000000001,1006,104,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8005299,47.97362299999993,11.65520700000001,986,83,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8005652,48.243747000000084,11.88296500000001,964,87,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8000675,47.96876200000005,11.769578,789,78,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8005927,47.907142000000015,11.27288999999999,748,105,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8001634,48.07496999999999,11.97024299999999,583,80,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8098261,48.141529000000055,11.556708000000006,580,114,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8001829,48.333011000000006,11.30436699999999,564,44,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8006550,47.91424000000003,11.426989000000011,547,104,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004404,48.32093500000003,11.390041000000002,542,44,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8003317,48.354045000000035,11.27547800000001,532,44,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8000119,48.10599120000002,11.037455199999995,532,82,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8000685,48.280158999999955,11.37871600000001,532,44,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8001355,48.266877999999956,11.439528999999995,526,44,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8005442,48.300181999999964,11.364496,520,44,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8000603,48.34132,11.344044000000013,502,44,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8003072,48.352390999999955,11.378446000000013,498,44,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002792,47.99884900000003,11.170570999999997,495,101,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002420,47.94606000000007,11.781259999999985,488,43,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004761,47.96010199999999,11.776595000000007,470,43,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004775,48.413450000000005,11.469880999999988,469,82,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8001825,48.30346000000003,11.912062999999995,455,87,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8004204,48.21682599999998,11.174618000000008,450,82,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8002078,48.39519500000004,11.744538999999998,414,84,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8000556,48.384917999999985,11.255133000000002,210,44,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
8003438,47.91649400000003,11.759013999999995,205,43,,nicht zugeordnet (nicht Teil der 12 Stammstrecken-Halte)
